✔,slug,title,author,genre,year,start,finish,finish_date,media,w,h,drawing,via,desc,translator,narrator,illustrator
,spring-knausgaard,Spring,Karl Ove Knausgaard,Fiction,2018,2021-05-28,2021-06-04,2021,Book,14,21,TRUE,.,"Meaning in life is contingent on connection with others. Creation, communication: everything we do can be seen as directed outward in this way. The looming disconnect of depression is the absence of this, the despairing inertia of it that keeps the sufferer ultimately inward. The two previous books in this quartet took the form of monthly letters to an unborn daughter interspersed with brief essays. In this one, Knausgaard writes about his wife Linda's depressive episode in the months surrounding the birth of their daughter. How one-sided is this portrayal? I am very interested to read Linda Boström Knausgaard's *October Child*, which gives her take on these events.",Ingvild Burkey,,Anna Bjerger
,no-one-is-talking-about-this-lockwood,No One Is Talking About This,Patricia Lockwood,Fiction,2020,2021-05-26,2021-05-28,2021,Book,13,21,TRUE,Having read Priestdaddy,"The first part is a kind of twitter impressionism, the daubs of which sorta congeal at a distance into a particular facet of online performative irony. Someone made a [reference sheet for all the memes](https://lithub.com/all-the-memes-in-patricia-lockwoods-no-one-is-talking-about-this-explained/), most of which I'd never seen. The second part devastates and implodes, as real-physical-life tragedy breaks in and renders the previous mode of being somewhat questionable. I found it eerie and humane.",,,
,the-emperor-of-all-maladies-mukherjee,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,Science,2010,2021-05-24,2021-06-10,2021,Audiobook,8,16,TRUE,Having read The Gene,"A wide, long, and detailed account of cancer through the millennia: attempts to understand it, the history of its treatment, its cultural effects. It's a misconception, though, that cancer is one ""thing."" Rather, it is a ""shape-shifting disease of colossal diversity."" Cancer has become the representative 20th-century ailment; because of our successful eradication of other diseases and attendant increase in lifespan, cancer has more time and opportunity to develop in more of the population. More recently, the focus has moved to prevention and targeted therapies, and a steadily increasing understanding of the complex interactions of genes and the environment.",,,
✔,why-are-we-yelling-benson,Why Are We Yelling?: The Art of Productive Disagreement,Buster Benson,Self-Help,2019,2021-05-11,2021-05-26,2021,Book,14,22,TRUE,"Found his website, with his Codex Vitae","An exploration into how we might reframe our concept of arguing: from anxiety-driven efforts to win/convince/end the disagreement, to more mutually generous explorations that result in learning, growth, and connection for all participants. Benson offers a framework of eight things to try, involving recognizing the underlying utility of our cognitive biases, and how best to work with them. It’s about getting into the messiness of it all—moving beyond avoidant behaviors and into the rewarding (but initially scary) practices of uncertainty, vulnerability, and more open-ended engagement.

I came across this one via this trail: [Building a digital garden by Tom Critchlow](https://tomcritchlow.com/2019/02/17/building-digital-garden/) → [Brendan Schlagel's Personal Canon](https://www.brendanschlagel.com/canon/) → [Buster Benson's Codex Vitae](https://busterbenson.com/codex-vitae/)",,,
,a-peoples-history-of-the-united-states-zinn,A People's History of the United States,Howard Zinn,History,2005,2021-05-09,2021-05-24,2021,Audiobook,8,16,TRUE,Browsing library,"I like the idea of reviewing history from the perspectives and interests of various people's movements rather than the usual focus on notable individuals. It's difficult for me to say how far in an opposite extreme direction Zinn's approach skews, but if I recall, in the introduction he makes no claim to being unbiased. Through this lens, it can begin to feel like American history is one long screwing over of the less fortunate by the elites. I certainly appreciate hearing a less idealized version of the United States, and I am also interested in finding some other, perhaps more balanced, accounts as well.",,Jeff Zinn,
,the-bell-jar-plath,The Bell Jar,Sylvia Plath,Fiction,1963,2021-05-06,2021-05-09,2021,Audiobook,8,16,TRUE,Browsing library,"""Stewing in my own sour air."" Scary, disturbing, and dark. Haunted and suffused by the facts of Plath's own life.",,Maggie Gyllenhaal,
,how-to-write-one-song-tweedy,How to Write One Song: Loving the Things We Create and How They Love Us Back,Jeff Tweedy,Music,2020,2021-05-06,2021-05-18,2021,Book,13,19,TRUE,Probably Kleon,A nice little book about creativity and generating ideas (mostly focused on lyric writing). An interesting idea: connection as the loftiest of all aspirations in art. Have an immensity of gratitude. Don't be afraid to make something bad; you need to practice getting to the creative place.,,,
R,,How to Talk So Kids Will Listen & Listen So Kids Will Talk,Adele Faber; Elaine Mazlish,Parenting,1996,2021-05-05,Shelved,Shelved,Book,,,,Kleon,,,,Kimberly Ann Coe
R,,"Racial Purity and Dangerous Bodies: Moral Pollution, Black Lives, and the Struggle for Justice",Rima L. Vesely-Flad,Race,2017,2021-05-04,Shelved,Shelved,Book,,,,She spoke at the EW Pearson Project Collaborative's Racial Equity and Healing Event,,,,
,,Venus and Aphrodite: A Biography of Desire,Bettany Hughes,History,2019,2021-05-02,Shelved,Shelved,Audiobook,,,,Browsing the Libby app,,,,
✔,priestdaddy-lockwood,Priestdaddy,Patricia Lockwood,Memoir,2017,2021-05-02,2021-05-08,2021,Book,16,24,TRUE,Kleon,"I loved this. The bizarreness and outsized hilarity did not overpower the sections of searching vulnerability. The language, the words, the humor, the sentences... it's fun, remarkable, special stuff.

Heard about this one via [Austin Kleon's favorite reads of 2018](https://books.austinkleon.com/tagged/top2018).",,,
,keep-going-kleon,Keep Going: 10 Ways to Stay Creative in Good Times and Bad,Austin Kleon,Art,2019,2021-04-25,2021-04-28,2021,Book,14,14,TRUE,.,"Kleon's stuff is a friendly nudge to engage the world with supple curiosity. Full of good reminders.

> Whenever life gets overwhelming, go back to chapter one of this book and think about your days. Try your best to fill them in ways that get you a little closer to where you want to be. Go easy on yourself and take your time. Worry less about getting things done. Worry more about things worth doing. Worry less about being a great artist. Worry more about being a good human being who makes art. Worry less about making a mark. Worry more about leaving things better than you found them.",,,
,the-gene-mukherjee,The Gene: An Intimate History,Siddhartha Mukherjee,Science,2016,2021-04-23,2021-05-02,2021,Audiobook,8,16,TRUE,Looking up two-star reviews about Sapolsky's Behave on Goodreads,"I came to this book via some 2-star reviews of Sapolsky's *Behave* on Goodreads; Mukherjee's book was recommended as an alternative with less reliance on questionable scientific studies. This book was really interesting, and in-depth, and stuffed with information, and enlightening, and a lot of it went over my head, and there's a good amount of stuff that I would like to revisit and attempt to better absorb.",,Dennis Boutsikaris,
,,The Great Ideas of Psychology,Daniel N. Robinson,Psychology,1999,2021-04-20,Shelved,Shelved,Audiobook,8,16,,.,,,Author,
,,Maps of Meaning: The Architecture of Belief,Jordan B. Peterson,Psychology,1999,2021-04-17,Shelved,Shelved,Audiobook,,,,Interest in comparative mythology,,,,
,,Chaos: Making a New Science,James Gleick,Science,1988,2021-04-15,Shelved,Shelved,Audiobook,,,,Sapolsky's class,,,,
,a-promised-land-obama,A Promised Land,Barack Obama,Autobiography,2020,2021-04-07,2021-04-14,2021,Audiobook,8,16,TRUE,.,"I listened to this in large overnight portions during shifts with a newborn. Obama narrates the book, and it was unexpectedly soothing, but I don't think I fell asleep *too* much. I'm looking forward to the second volume.",,Author,
,kitchen-confidential-bourdain,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,Autobiography,2007,2021-04-05,2021-04-07,2021,Audiobook,8,16,TRUE,Kleon?,Reasonably bawdy and rather entertaining.,,Author,
✔,beowulf-headley,Beowulf: A New Translation,Maria Dahvana Headley,Classics,2020,2021-04-02,2021-04-30,2021,Book,13,19,TRUE,Zeitgeist,"This was great. I mean, what outrageous and lively fun with language! And holding a feminist lens—more of a nuanced reappraisal of the language, really—over such a prototypically macho, chest-beating narrative, makes it all the more interesting.",,,
,the-madness-of-crowds-murray,"The Madness of Crowds: Gender, Race and Identity",Douglas Murray,Politics,2019,2021-03-29,2021-04-13,2021,Book,15,23.5,TRUE,Dad,"Identity politics, cancel culture, extreme polarization, hyperspecific echo chambers, fragmentation, ideology. All that fraught stuff. I think [this review on Goodreads](https://www.goodreads.com/review/show/2992764629?book_show_action=true&from_review_page=1) is reasonable. Related, I recommend [*Why Are We Yelling?: The Art of Productive Disagreement*](https://busterbenson.com/whyareweyelling/) by Buster Benson.",,,
,the-story-of-the-bible-johnson,The Story of the Bible,Luke Timothy Johnson,Religion,2006,2021-03-11,2021-04-05,2021,Audiobook,8,16,TRUE,T. M. Luhrmann,"Tracing how disparate writings were compiled into what we now call the Bible—and how the exact composition of the Bible varies among cultures, traditions, and throughout history. The materials used, and especially the advent of the printing press, had big effects on the transmission and standardization as well. There are various ways that additional lenses, layers, and permutations can result in a subtly different work as it spreads and morphs throughout years, places, and interpretations.",,Author,
,,The Birth Partner,Penny Simkin; Katie Rohs,Parenting,1989,2021-03-06,Shelved,Shelved,Book,,,,Sarah the doula,,,,
R,,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI ,David Grann,History,2017,2021-03-05,Shelved,Shelved,Audiobook,iphone 10,,,List of best history books; featured at library; we're listening to it together in bed,,,Will Patton; Ann Marie Lee; Danny Campbell,
,the-slow-regard-of-silent-things-rothfuss,The Slow Regard of Silent Things,Patrick Rothfuss,Fantasy,2014,2021-03-05,2021-03-10,2021,Audiobook,6.5,13,TRUE,.,,,,
,the-proud-tower-tuchman,"The Proud Tower: A Portrait of the World Before the War, 1890-1914",Barbara W. Tuchman,History,1966,2021-03-02,2021-04-24,2021,Book,17,24,TRUE,Having read her WWI book,"A collection of essays in which Tuchman describes the (western) world before WWI, but tries not to let the knowledge of the impending war color her analysis of the events. The English aristocracy begins to notice a change in the social air, the anarchist movement pops up in many places, America gets all imperialist, the Dreyfuss Affair is a huge thing, an international peace movement sparks up, socialism has high hopes...",,,
,the-hero-with-a-thousand-faces-campbell,The Hero With a Thousand Faces,Joseph Campbell,Mythology,1949,2021-03-02,2021-03-24,2021,Book,16,24,TRUE,Everywhere,,,,
,show-your-work-kleon,Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,Art,2014,2021-02-23,2021-04-16,2021,Book,14,14,TRUE,Everywhere,"Lots of good stuff about being generous, letting people peek at your process. I think creativity is indeed a self-renewing force. But, like everything, there is a balance. Sometimes there is a temptation to cling to ideas until they feel more fully developed. How do you know whether the idea you're holding on to is fermenting or becoming stale? But I'm tangenting.",,,
,hunger-russell,Hunger: An Unnatural History,Sharman Apt Russell,History,2006,2021-02-23,2021-02-28,2021,Book,14,21,TRUE,I don't recall,,,,
,beowulf-heaney,Beowulf,Seamus Heaney,Classics,2001,2021-02-21,2021-03-01,2021,Book,16,24,TRUE,"The fact that the feminist translation came out, and the library didn't have it yet",,Seamus Heaney,,
✔,the-guns-of-august-tuchman,The Guns of August,Barbara W. Tuchman,History,1962,2021-02-06,2021-02-20,2021,Book,14,21,TRUE,"A list of best history books, I think",,,,
,grand-union-smith,Grand Union: Stories,Zadie Smith,Fiction,2019,2021-01-27,2021-01-31,2021,Book,16,24,TRUE,Browsing library,,,,
,zen-mind-beginners-mind-suzuki,"Zen Mind, Beginner's Mind: Informal Talks on Zen Meditation and Practice",Shunryu Suzuki,Religion,1973,2021-01-23,2021-02-04,2021,Book,13.5,21,TRUE,Sam Harris' discussion with Leo Babauta of Zen Habits blog,,,,
,a-history-of-witchcraft-russell,"A History of Witchcraft: Sorcerers, Heretics, and Pagans",Jeffrey Burton Russell,History,1982,2021-01-22,2021-03-23,2021,Book,18,24,TRUE,Browsing library,,,,
,waking-the-witch-grossman,"Waking the Witch: Reflections on Women, Magic, and Power",Pam Grossman,Feminism,2019,2021-01-20,2021-04-11,2021,Book,13,21,TRUE,Browsing library,,,,
,gender-and-our-brains-rippon,Gender and Our Brains: How New Neuroscience Explodes the Myths of the Male and Female Minds,Gina Rippon,Science,2019,2021-01-12,2021-01-23,2021,Book,16,24,TRUE,Sara Hendren < Jeanette Winterson (https://sarahendren.com/2019/09/28/no-one-dares-touch-moral-function-anymore/),,,,
,how-to-be-an-antiracist-kendi,How to Be an Antiracist,Ibram X. Kendi,Race,2019,2021-01-08,2021-02-09,2021,Book,14.5,22,TRUE,The zeitgeist,,,,
,behave-sapolsky,Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,Science,2017,2020-12-23,2021-02-16,2021,Audiobook,6.5,13,TRUE,I've been watching his lectures on YouTube,,,Michael Goldstrom,
,gratitude-sacks,Gratitude,Oliver Sacks,Autobiography,2015,2021-01-10,2021-01-10,2021,Audiobook,6.5,13,TRUE,.,,,,
,the-minds-eye-sacks,The Mind's Eye,Oliver Sacks,Science,2010,2020-12-15,2020-12-23,2020,Audiobook,6.5,13,TRUE,.,,,Richard Davidson,
,winter-knausgaard,Winter,Karl Ove Knausgaard,Essays,2015,2020-12-14,2021-02-09,2021,Book,14,21,TRUE,.,,Ingvild Burkey,,Lars Lerin
,when-god-talks-back-luhrmann,When God Talks Back: Understanding the American Evangelical Relationship with God,T. M. Luhrmann,Religion,2012,2020-12-08,2021-01-14,2021,Book,17,24,TRUE,Oliver Sacks' Hallucinations,,,,
,age-of-anger-mishra,Age of Anger: A History of the Present,Pankaj Mishra,History,2017,2020-12-01,2021-02-24,2021,Audiobook,6.5,13,TRUE,?,,,Derek Perkins,
,,A Palette of Particles,Jeremy Bernstein,Science,2013,2020-11-30,Shelved,,Book,,,,Browsing library,,,,
,love-in-the-time-of-cholera-marquez,Love in the Time of Cholera,Gabriel García Márquez,Fiction,1985,2020-11-20,2021-01-10,2021,Book,15,21,TRUE,Little free library,,Edith Grossman,,
,autumn-knausgaard,Autumn,Karl Ove Knausgaard,Essays,2015,2020-11-12,2020-11-28,2020,Book,14,21,TRUE,.,,Ingvild Burkey,,Vanessa Baird
,we-believe-the-children-beck,We Believe the Children: A Moral Panic in the 1980s ,Richard Beck,History,2015,2020-11-07,2020-11-13,2020,Book,16.5,24,TRUE,Alan Jacobs,,,,
,will-my-cat-eat-my-eyeballs-doughty,Will My Cat Eat My Eyeballs?: And Other Questions About Dead Bodies,Caitlin Doughty,Science,2020,2020-11-04,2020-11-20,2020,Book,15,21.5,TRUE,?,,,,Dianné Ruz
,,A Concise History of Sweden,Neil Kent,History,2008,2020-11-01,Shelved,,Book,,,,"Searching library website, randomly came up",,,,
,the-world-beyond-your-head-crawford,The World Beyond Your Head: On Becoming an Individual in an Age of Distraction,Matthew B. Crawford,Philosophy,2015,2020-10-30,2020-11-03,2020,Book,14.5,21,TRUE,.,,,,
,,"Full Catastrophe Living: Using the Wisdom of Your Body and Mind to Face Stress, Pain, and Illness",Jon Kabat-Zinn,Self-Help,2005,2020-10-18,Shelved,,Book,,,,MBSR Class,,,,
,the-experience-of-god-hart,"The Experience of God: Being, Consciousness, Bliss",David Bentley Hart,Philosophy,2013,2020-10-05,2020-12-11,2020,Book,15,21.5,TRUE,.,,,,
,the-wise-mans-fear-rothfuss,The Wise Man's Fear,Patrick Rothfuss,Fantasy,2011,2020-09-28,2020-12-02,2020,Audiobook,6.5,13,TRUE,.,,,Nick Podehl,
,gilgamesh-the-hero-mccaughrean,Gilgamesh the Hero,Geraldine McCaughrean,Classics,2002,2020-09-20,2020-09-28,2020,Book,22,25.5,TRUE,.,,,,David Parkins
,crossing-the-unknown-sea-whyte,Crossing the Unknown Sea: Work as a Pilgrimage of Identity,David Whyte,Self-Help,2002,2020-09-08,2020-10-05,2020,Book,12.5,21,TRUE,.,,,,
✔,gilgamesh-mitchell,Gilgamesh,Stephen Mitchell,Classics,2016,2020-09-08,2020-09-14,2020,Book,15.5,20,TRUE,Norton Anthology of Western Literature,,,,
,,Norton Anthology of Western Literature,.,Classics,.,2020-09-01,Shelved,,Book,,,,Kailey owns it,,,,
,after-the-quake-murakami,after the quake,Haruki Murakami,Fiction,2003,2020-09-01,2020-11-01,2020,Book,12.5,20,TRUE,.,,Jay Rubin,,
